"","Variable","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Date","Altitude"
"159","GA",7.6034351153905,0.0866244917660433,4.36312827681939,26.5625625674023,0.0408157635713491,"2022-03-09","30m"
"160","GGA",7.95647306916543,0.0316783203792264,0.97252933995383,0.670780980242682,4.93124277788495,"2022-03-09","30m"
"161","CSI",7.91303354285059,0.0961506586800247,1.13914343117311,1.35180221539148,34.5360689364317,"2022-03-09","30m"
"162","NGRDI",7.88115363117337,0.0480914090845818,0.215426578240603,11.6220059926206,18.9352396384518,"2022-03-09","30m"
"163","NGRDIveg",7.67904423950473,0.0906755820173205,0.235481548694834,31.5991706279163,1.10897328125641,"2022-03-09","30m"
"164","TGI",7.75892728312022,1.28256811648784,2.17013521266419,0.567819355812932,4.32839240117156,"2022-03-09","30m"
"165","TGIveg",7.15841770527692,4.06555908229192,0.191498767457306,16.3761653639961,22.9546682618806,"2022-03-09","30m"
"166","Intensity",4.52027532021679,8.39565970109819,25.8929403229924,0.0262313049142108,0.0500968541156717,"2022-03-09","ground"
"167","Hue",10.1641251301812,1.37574770457626e-05,1.49543248185993,5.93721151281688,0.140218201593002,"2022-03-09","ground"
"168","Saturation",0.740990417436916,15.1000034181371,29.3291603413508,10.5510664576628,2.46773017700999,"2022-03-09","ground"
"169","Lightness",2.61139833936075,12.2397801000659,27.9440129914886,0.0118403649506671,0.0609632832503573,"2022-03-09","ground"
"170","a.",10.4285425080532,0.0211190522354215,0.527453589998584,2.62644072213439,3.89954778656109,"2022-03-09","ground"
"171","b.",0.666308678279982,21.8372813852558,0.563399370498065,3.19166582883283,3.11327068941522,"2022-03-09","ground"
"172","u.",9.89006667405135,1.21153391400145,0.231095635669114,3.17524491920134,3.19618506556492,"2022-03-09","ground"
"173","v.",1.33890945670608,20.4672112422307,0.677179316208489,1.07000837220619,4.01280378911005,"2022-03-09","ground"
"174","GA",10.5474562038054,0.103341778670156,0.423029839653385,0.172868908319268,0.352558954738868,"2022-03-09","ground"
"175","GGA",10.2987910462924,0.0234632648706357,1.51114310631318,0.00877131142122603,1.97256087423373,"2022-03-09","ground"
"176","CSI",8.96433915815634,0.30079333507634,3.70284731819405,22.9250677748348,16.342545574907,"2022-03-09","ground"
"177","NGRDI",10.1373158314945,0.328456890329109,2.15386883721756,2.50310437457001,2.86499262564585,"2022-03-09","ground"
"178","NGRDIveg",9.77157426632916,0.481547327803159,0.00751720183894809,5.08096664023301,30.294029029649,"2022-03-09","ground"
"179","TGI",9.89304586516539,1.47496050795967,0.0463288887070418,0.439291612081662,5.36383894294416,"2022-03-09","ground"
"180","TGIveg",0.0268611044703487,18.0148343247893,5.49459075800955,42.2802198958206,25.868658151261,"2022-03-09","ground"
"181","Intensity",7.69898362793969,0.0272373322450744,1.63652574649879,1.45621058720816,2.89330688504011,"2022-03-22","50m"
"182","Hue",7.84456365193413,0.488839717222185,0.409048799237968,0.0928323307544961,0.537006373770793,"2022-03-22","50m"
"183","Saturation",3.57693047620727,22.4939213259762,28.8092718541021,16.5358713948074,16.6653440695505,"2022-03-22","50m"
"184","Lightness",7.63899720190565,4.01500868408503e-05,2.44343785546182,2.49324354356221,2.0042395341707,"2022-03-22","50m"
"185","a.",7.70278447454936,1.31650218822713,0.372033236287069,1.28548657295887,0.393032896429001,"2022-03-22","50m"
"186","b.",1.2017488342052,57.6406631419894,16.3538637075289,23.9689147319399,0.419502383338064,"2022-03-22","50m"
"187","u.",7.33633705531279,4.59490943014258,0.0582675090763882,2.02139291918865,4.56059739716006,"2022-03-22","50m"
